nombre,descripcion,ubicacion,url,precio,tipo,habitaciones,baños
"Ubicado dentro del master plan de Acuarela Vida y Comunidad, en la Zona Real de Zapopan, Olivé es un desarrollo residencial de alto nivel diseñado por la reconocida firma Sordo Madaleno Arquitectos. Este proyecto se compone de dos torres de 15 niveles, con un total de 240 departamentos y más de 8, 000 m² de amenidades interiores y exteriores cuidadosamente planeadas para enriquecer tu estilo de vida. Actualmente se comercializa la primera etapa del proyecto: Olivé Torre Norte, ubicada estratégicamente frente al parque central de Acuarela, un espacio de más de 12, 000 m² en el corazón del desarrollo. Frente al parque central, Olivé se alza como una propuesta residencial donde el diseño contemporáneo se fusiona con el entorno natural. Sus departamentos de 2 y 3 recámaras están pensados para adaptarse a diferentes estilos de vida, priorizando la funcionalidad, amplitud y una conexión auténtica con el paisaje. Amenidades* exclusivas creadas para el bienestar, la recreación y la convivencia: - Alberca al aire libre con chapoteadero. - Salones privados para eventos. - Gimnasio interior y exterior. - Ludoteca y área de juegos infantiles. - Salas de juntas y coworking. - Asadores, firepits y áreas verdes. - Espacios para mascotas y ciclo-puertos. Características de Olivé Torre Norte: - Lobby de ingreso exclusivo y motor lobby. - 2 elevadores de alta velocidad + montacargas. - Seguridad 24/7 con cctv. - Control de accesos y sistema contra incendios. - Bodegas, cuarto de basura por nivel y andén de servicio. - Muros divisorios con aislamiento acústico. - Rampas y señalización para personas con discapacidad. - Detectores de gas natural y humo en todas las unidades. Elige vivir en un entorno donde cada detalle ha sido diseñado para brindarte confort, privacidad y conexión con la naturaleza. Una inversión que suma diseño, plusvalía y calidad de vida. *Las amenidades se desarrollarán en dos etapas.","Ubicado dentro del master plan de Acuarela Vida y Comunidad, en la Zona Real de Zapopan, Olivé es un desarrollo residencial de alto nivel diseñado por la reconocida firma Sordo Madaleno Arquitectos. Este proyecto se compone de dos torres de 15 niveles, con un total de 240 departamentos y más de 8, 000 m² de amenidades interiores y exteriores cuidadosamente planeadas para enriquecer tu estilo de vida. Actualmente se comercializa la primera etapa del proyecto: Olivé Torre Norte, ubicada estratégicamente frente al parque central de Acuarela, un espacio de más de 12, 000 m² en el corazón del desarrollo. Frente al parque central, Olivé se alza como una propuesta residencial donde el diseño contemporáneo se fusiona con el entorno natural. Sus departamentos de 2 y 3 recámaras están pensados para adaptarse a diferentes estilos de vida, priorizando la funcionalidad, amplitud y una conexión auténtica con el paisaje. Amenidades* exclusivas creadas para el bienestar, la recreación y la convivencia: - Alberca al aire libre con chapoteadero. - Salones privados para eventos. - Gimnasio interior y exterior. - Ludoteca y área de juegos infantiles. - Salas de juntas y coworking. - Asadores, firepits y áreas verdes. - Espacios para mascotas y ciclo-puertos. Características de Olivé Torre Norte: - Lobby de ingreso exclusivo y motor lobby. - 2 elevadores de alta velocidad + montacargas. - Seguridad 24/7 con cctv. - Control de accesos y sistema contra incendios. - Bodegas, cuarto de basura por nivel y andén de servicio. - Muros divisorios con aislamiento acústico. - Rampas y señalización para personas con discapacidad. - Detectores de gas natural y humo en todas las unidades. Elige vivir en un entorno donde cada detalle ha sido diseñado para brindarte confort, privacidad y conexión con la naturaleza. Una inversión que suma diseño, plusvalía y calidad de vida. *Las amenidades se desarrollarán en dos etapas.","Paseo Valle Real 1518, Valle Real, Zapopan",https://www.inmuebles24.com/propiedades/desarrollo/ememvein-preventa-de-departamentos-en-zona-real-zapopan-jal-146951414.html,"MN 8,122,570",venta,2 a 3 rec.,
"Descubre una vida de lujo en el piso 20 de la Torre de Departamentos Landmark en la exclusiva colonia Puerta de Hierro. Este departamento te ofrece una vista panorámica incomparable de la Zona Diamante de Guadalajara. Con una recámara principal con closet y baño, una oficina insonorizada, medio baño para visitas, área de lavado, y cocina integral con barra de granito y suelo de mármol negro. Disfruta de la sala de tv con mueble fijo y las completas amenidades de Landmark, que incluyen alberca al aire libre, gimnasio, salón de yoga, ludoteca y más. Con una pista para jogging y un oxxo Smart en el sótano 2, tendrás todo lo que necesitas. Ubicado cerca de las mejores plazas comerciales, restaurantes y servicios de Guadalajara. ¡Haz de este departamento tu nuevo hogar de lujo!","Descubre una vida de lujo en el piso 20 de la Torre de Departamentos Landmark en la exclusiva colonia Puerta de Hierro. Este departamento te ofrece una vista panorámica incomparable de la Zona Diamante de Guadalajara. Con una recámara principal con closet y baño, una oficina insonorizada, medio baño para visitas, área de lavado, y cocina integral con barra de granito y suelo de mármol negro. Disfruta de la sala de tv con mueble fijo y las completas amenidades de Landmark, que incluyen alberca al aire libre, gimnasio, salón de yoga, ludoteca y más. Con una pista para jogging y un oxxo Smart en el sótano 2, tendrás todo lo que necesitas. Ubicado cerca de las mejores plazas comerciales, restaurantes y servicios de Guadalajara. ¡Haz de este departamento tu nuevo hogar de lujo!","Av Paseo de los virreyes 45, Puerta de Hierro, Zapopan",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-puerta-de-hierro-landmark-147555326.html,"MN 13,650,000",venta,1 rec.,2 baños
"Legend una idea que se transforma en realidad. El proyecto de usos mixtos que llega a Distrito Andares para destacar con elegancia y naturalidad, creando múltiples formas de experimentar la ciudad. El complejo se extenderá a lo largo de 110 mil metros cuadrados y tendrá una altura de 190 metros; de acuerdo con som, será el edificio más alto de Zapopan. La nueva torre, que sobresale por su vanguardista arquitectura, albergará espacios residenciales de lujo, oficinas, terrazas y un hotel. “El diseño aporta una arquitectura que expresa masa y peso con un sentido de proporción único en la región”, dijo José Luis Palacios, director de diseño de som. Dos estructuras le darán forma a este proyecto. Por un lado, contará con un edificio bajo de dosel voladizo donde se ubicará el hotel, y a un costado estará el acceso para la parte residencial y de oficinas, las cuales se extenderán a lo largo de 52 pisos. Su distribución incluye amenidades como terrazas y espacios dedicados a la vida wellness, mientras que los 178 espacios habitacionales de lujo serán ubicados en los pisos superiores.","Legend una idea que se transforma en realidad. El proyecto de usos mixtos que llega a Distrito Andares para destacar con elegancia y naturalidad, creando múltiples formas de experimentar la ciudad. El complejo se extenderá a lo largo de 110 mil metros cuadrados y tendrá una altura de 190 metros; de acuerdo con som, será el edificio más alto de Zapopan. La nueva torre, que sobresale por su vanguardista arquitectura, albergará espacios residenciales de lujo, oficinas, terrazas y un hotel. “El diseño aporta una arquitectura que expresa masa y peso con un sentido de proporción único en la región”, dijo José Luis Palacios, director de diseño de som. Dos estructuras le darán forma a este proyecto. Por un lado, contará con un edificio bajo de dosel voladizo donde se ubicará el hotel, y a un costado estará el acceso para la parte residencial y de oficinas, las cuales se extenderán a lo largo de 52 pisos. Su distribución incluye amenidades como terrazas y espacios dedicados a la vida wellness, mientras que los 178 espacios habitacionales de lujo serán ubicados en los pisos superiores.","Avenida Empresarios, Puerta de Hierro, 45116 Zapopan, Jal, México, Puerta de Hierro, Zapopan",https://www.inmuebles24.com/propiedades/desarrollo/ememvein-legend-145175161.html,"MN 12,000,000",venta,2 rec.,
"Este Increíble Departamento se encuentra Ubicado en el Desarrollo Duo 24 En una Ubicación Privilegiada Sobre Av. Lopez Mateos casi esq. Con Mariano Otero, a solo una cuadras de Plaza la Perla, Plaza del Sol, ikea, Citymarket, la Expo Guadalajara. Un Desarrollo de gig con mucha plusvalía por y amenidades de Lujo. *Estacionamiento en Sotano. *Doble elevador. *Escaleras de Servicio. *Area de recepción con concierge. *Alberca con calefacción. *Area de Asoleaderos. *Gimnasio. *Spa con Área de Vapor para hombres y para mujeres. *Salas de Coworking. *Pet Park. *Huerto urbano. *Fire Pit. Incluye muebles Calidad Plascencia. Piso 13. -2 Espacios de Estacionamiento. -Cocina integral con barra y cubierta de granito. -Area de sala y comedor. -Area de lavado. -3 Recamaras amplias. -Recamara principal con baño completo y vestidor. -Las 2 recamaras secundarias comparten un baño completo. 102 mts2 de Superficie. Altura Máxima Real Estate","Este Increíble Departamento se encuentra Ubicado en el Desarrollo Duo 24 En una Ubicación Privilegiada Sobre Av. Lopez Mateos casi esq. Con Mariano Otero, a solo una cuadras de Plaza la Perla, Plaza del Sol, ikea, Citymarket, la Expo Guadalajara. Un Desarrollo de gig con mucha plusvalía por y amenidades de Lujo. *Estacionamiento en Sotano. *Doble elevador. *Escaleras de Servicio. *Area de recepción con concierge. *Alberca con calefacción. *Area de Asoleaderos. *Gimnasio. *Spa con Área de Vapor para hombres y para mujeres. *Salas de Coworking. *Pet Park. *Huerto urbano. *Fire Pit. Incluye muebles Calidad Plascencia. Piso 13. -2 Espacios de Estacionamiento. -Cocina integral con barra y cubierta de granito. -Area de sala y comedor. -Area de lavado. -3 Recamaras amplias. -Recamara principal con baño completo y vestidor. -Las 2 recamaras secundarias comparten un baño completo. 102 mts2 de Superficie. Altura Máxima Real Estate","Avenida A. López Mateos 4255, Loma Bonita, Zapopan",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-duo-24-tres-recamaras-zapopan-147149286.html,"MN 5,390,000",venta,3 rec.,2 baños
"Vía del Bosque es un desarrollo vertical de alto nivel con 161 residencias distribuidas en 34 niveles, ubicado en Distrito Andares. Integra 3 niveles de amenidades y 2 niveles comerciales con servicios diseñados para facilitar la vida diaria de sus residentes. Este proyecto redefine el estilo de vida urbano en Zapopan. Cada detalle, desde el diseño arquitectónico hasta sus amenidades, fue pensado para ofrecer funcionalidad, estética y comunidad en equilibrio. Un referente arquitectónico desarrollado por Grupo dmi, creadores del icónico Andares. Amenidades exclusivas en tres niveles: - Planta baja: Concierge, lobby con seguridad, coworking, biblioteca de objetos 24/7. - Nivel 3: Alberca al aire libre, gimnasio, baños con vapor, ludoteca, salón multiusos, terraza con asadores, área de fogata y playground exterior. - Nivel 24: Private dining equipado, lounge con vistas panorámicas, bar y área de juegos, guest suite completamente amueblada (en nivel 4). Características destacadas: - Departamentos de 2 y 3 recámaras. - 2 cajones de estacionamiento por departamento. - 1 bodega incluida. - Seguridad 24/7 con sistema cctv. - Elevadores de alta capacidad y montacargas. - Cajones de estacionamiento y bodegas adicionales en venta. - Accesibilidad universal en todo el proyecto. - Sistema contra incendios y cuartos técnicos especializados. Ubicación: Av. Universidad 325, Zapopan, Jalisco. A minutos de Andares, Hospital Ángeles y centros educativos de primer nivel.","Vía del Bosque es un desarrollo vertical de alto nivel con 161 residencias distribuidas en 34 niveles, ubicado en Distrito Andares. Integra 3 niveles de amenidades y 2 niveles comerciales con servicios diseñados para facilitar la vida diaria de sus residentes. Este proyecto redefine el estilo de vida urbano en Zapopan. Cada detalle, desde el diseño arquitectónico hasta sus amenidades, fue pensado para ofrecer funcionalidad, estética y comunidad en equilibrio. Un referente arquitectónico desarrollado por Grupo dmi, creadores del icónico Andares. Amenidades exclusivas en tres niveles: - Planta baja: Concierge, lobby con seguridad, coworking, biblioteca de objetos 24/7. - Nivel 3: Alberca al aire libre, gimnasio, baños con vapor, ludoteca, salón multiusos, terraza con asadores, área de fogata y playground exterior. - Nivel 24: Private dining equipado, lounge con vistas panorámicas, bar y área de juegos, guest suite completamente amueblada (en nivel 4). Características destacadas: - Departamentos de 2 y 3 recámaras. - 2 cajones de estacionamiento por departamento. - 1 bodega incluida. - Seguridad 24/7 con sistema cctv. - Elevadores de alta capacidad y montacargas. - Cajones de estacionamiento y bodegas adicionales en venta. - Accesibilidad universal en todo el proyecto. - Sistema contra incendios y cuartos técnicos especializados. Ubicación: Av. Universidad 325, Zapopan, Jalisco. A minutos de Andares, Hospital Ángeles y centros educativos de primer nivel.","Av. Universidad 325, Puerta de Hierro, Zapopan",https://www.inmuebles24.com/propiedades/desarrollo/ememvein-venta-de-departamentos-en-distrito-andares-zapopan-146966825.html,"MN 13,404,925",venta,2 a 3 rec.,
"Descubre el estilo de vida ideal en un departamento moderno y funcional, ubicado en una de las zonas más estratégicas de Zapopan. Este espacio combina comodidad y diseño con una amplia terraza privada para disfrutar al aire libre. Con una superficie total de 141. 03 m², cuenta con 2 recámaras, 2 baños completos, una amplia área de sala, comedor y cocina integrados, además de un práctico cuarto de lavado. El departamento también ofrece 2 cajones de estacionamiento y una bodega privada de 5. 23 m² para mayor conveniencia. Forma parte de un desarrollo con amenidades exclusivas como alberca, solarium, sport center, coworking, ludoteca y áreas diseñadas para todas las edades, además de un parque para mascotas y una pista de jogging. Todo esto en una ubicación privilegiada cerca de Plaza Ciudadela, Distrito La Perla, y a minutos de Plaza del Sol y Univa Campus gdl. Un hogar que lo tiene todo, ¡hazlo tuyo hoy mismo!","Descubre el estilo de vida ideal en un departamento moderno y funcional, ubicado en una de las zonas más estratégicas de Zapopan. Este espacio combina comodidad y diseño con una amplia terraza privada para disfrutar al aire libre. Con una superficie total de 141. 03 m², cuenta con 2 recámaras, 2 baños completos, una amplia área de sala, comedor y cocina integrados, además de un práctico cuarto de lavado. El departamento también ofrece 2 cajones de estacionamiento y una bodega privada de 5. 23 m² para mayor conveniencia. Forma parte de un desarrollo con amenidades exclusivas como alberca, solarium, sport center, coworking, ludoteca y áreas diseñadas para todas las edades, además de un parque para mascotas y una pista de jogging. Todo esto en una ubicación privilegiada cerca de Plaza Ciudadela, Distrito La Perla, y a minutos de Plaza del Sol y Univa Campus gdl. Un hogar que lo tiene todo, ¡hazlo tuyo hoy mismo!","Av. Labna, Ciudad Del Sol, Zapopan",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-col.-ciudad-del-sol.-146802588.html,"MN 6,500,000",venta,2 rec.,2 baños
"Magnifico departamento en torre de hierro. Con 316 m² de construcción, 3 recámaras y 5 baños, es el espacio ideal para disfrutar de la comodidad y el lujo. Amplio recibidor. medio baño. sala. amplia terraza. cocina integral equipada con isla de granito. comedor. area de servicio. cuarto de servicio (C propio baño) 3 amplias recamaras cada una con su baño completo. la principal su propia terraza doble vestidor. area de tv. Amenidades: - Área de entretenimiento: Alberca, gimnasio y área de juegos infantiles para disfrutar en familia. - Seguridad: Caseta de guardia y circuito cerrado para tu tranquilidad. - Comodidad: Aire acondicionado, calentador de agua y 3 estacionamientos. - Accesibilidad: Elevador y balcones que ofrecen vistas increíbles. Este departamento no solo es un lugar para vivir, es un estilo de vida. ¡No dejes pasar la oportunidad de hacerlo tuyo! Wig: p1r9E8e","Magnifico departamento en torre de hierro. Con 316 m² de construcción, 3 recámaras y 5 baños, es el espacio ideal para disfrutar de la comodidad y el lujo. Amplio recibidor. medio baño. sala. amplia terraza. cocina integral equipada con isla de granito. comedor. area de servicio. cuarto de servicio (C propio baño) 3 amplias recamaras cada una con su baño completo. la principal su propia terraza doble vestidor. area de tv. Amenidades: - Área de entretenimiento: Alberca, gimnasio y área de juegos infantiles para disfrutar en familia. - Seguridad: Caseta de guardia y circuito cerrado para tu tranquilidad. - Comodidad: Aire acondicionado, calentador de agua y 3 estacionamientos. - Accesibilidad: Elevador y balcones que ofrecen vistas increíbles. Este departamento no solo es un lugar para vivir, es un estilo de vida. ¡No dejes pasar la oportunidad de hacerlo tuyo! Wig: p1r9E8e","Avenida Empresarios 300, Puerta de Hierro, Zapopan",https://www.inmuebles24.com/propiedades/clasificado/veclapin-magnifico-depto-en-torre-de-hierro-145663645.html,"MN 23,900,000",venta,3 rec.,4 baños
"Vive en la mejor torre de Guadalajara! Landmark Zapopan, un ícono de lujo y modernidad en la ciudad. Ubicado en el corazón de la zona más prestigiosa de Zapopan, este residencial ofrece un estilo de vida incomparable, justo al lado del Andares, el centro comercial más exclusivo de Guadalajara. Características: Terreno: 203 M2. Interior: 193 m2. Terraza: 10 m. Piso 9 Int. 904-A. Habitaciones: 3. Cocina integral. Baños 3. Medio baño 1. Terraza. 1 Toilet. 1 Family. Cuarto de lavado. Cuarto de servicio con baño completo. Lugares de estacionamiento: 3. Cuenta con vigilancia y acceso controlado. Mantenimiento $10, 500. Listo para estrenar! Amenidades: Restaurantes. Tiendas. Estacionamiento techado. Terraza. Bodega. Elevador. Planta eléctrica. Portero. Alberca. Área de juegos infantiles. Gimnasio. Salón de usos múltiples. Cambios de información o precios sin previo aviso. Eb-tf6273. wig: pqxwrcI","Vive en la mejor torre de Guadalajara! Landmark Zapopan, un ícono de lujo y modernidad en la ciudad. Ubicado en el corazón de la zona más prestigiosa de Zapopan, este residencial ofrece un estilo de vida incomparable, justo al lado del Andares, el centro comercial más exclusivo de Guadalajara. Características: Terreno: 203 M2. Interior: 193 m2. Terraza: 10 m. Piso 9 Int. 904-A. Habitaciones: 3. Cocina integral. Baños 3. Medio baño 1. Terraza. 1 Toilet. 1 Family. Cuarto de lavado. Cuarto de servicio con baño completo. Lugares de estacionamiento: 3. Cuenta con vigilancia y acceso controlado. Mantenimiento $10, 500. Listo para estrenar! Amenidades: Restaurantes. Tiendas. Estacionamiento techado. Terraza. Bodega. Elevador. Planta eléctrica. Portero. Alberca. Área de juegos infantiles. Gimnasio. Salón de usos múltiples. Cambios de información o precios sin previo aviso. Eb-tf6273. wig: pqxwrcI","Paseo de los Virreyes, Condominio Puerta Plata, Zapopan",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-landmark-reserve-146541318.html,"MN 26,000,000",venta,3 rec.,3 baños
"Ubicado a 20 minutos de Andares, 25 minutos Midtown. Corredor de servicios premium sobre Av San Isidro!! Precio dis. magnifico departamento N U E V O, tipo pent house de 90M2 mas 80M2 de roof toop. ventanas de piso A techo en tu cocina sala Y comedor. cocina integral equipada cubierta granito. Ademas un espacio extra para oficina, cuarto de juegos, sala tv. dos espaciosas recamaras principal con vestidor Y baño completo. recamara secundaria con baño completo. un area de bodega mas el roof top con increible vista, cocineta Y apergolado. La torre es de solo 8 departamentos con dos cajones de estacionamiento. Acceso controlado, circuito tv 24/7. alberca, cancha de padel, dog park asadores, terraza socia, ludoteca. espacios que disfrutaras. Precios sujetos a cambios sin previo aviso y sujetos a disponibilidad. Agenda cita, conoce este concepto dentro de la Naturaleza a 4 semaforos de costco belenes. Excelente precio por corto tiempo. Citas disponibles","Ubicado a 20 minutos de Andares, 25 minutos Midtown. Corredor de servicios premium sobre Av San Isidro!! Precio dis. magnifico departamento N U E V O, tipo pent house de 90M2 mas 80M2 de roof toop. ventanas de piso A techo en tu cocina sala Y comedor. cocina integral equipada cubierta granito. Ademas un espacio extra para oficina, cuarto de juegos, sala tv. dos espaciosas recamaras principal con vestidor Y baño completo. recamara secundaria con baño completo. un area de bodega mas el roof top con increible vista, cocineta Y apergolado. La torre es de solo 8 departamentos con dos cajones de estacionamiento. Acceso controlado, circuito tv 24/7. alberca, cancha de padel, dog park asadores, terraza socia, ludoteca. espacios que disfrutaras. Precios sujetos a cambios sin previo aviso y sujetos a disponibilidad. Agenda cita, conoce este concepto dentro de la Naturaleza a 4 semaforos de costco belenes. Excelente precio por corto tiempo. Citas disponibles","Av. Camino a Bosque de San Isidro, Fraccionamiento Bosques Del Centinela , Zapopan",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-san-isidro-con-roof-147118849.html,"MN 3,575,000",venta,2 rec.,2 baños
"Increible departamento amueblado. con vistas espectaculares. sala. comedor. cocina integral equipada con barra de granito. tres recamarás. 3 baños completos. medio baño para visitas. área de lavado. Son 2 cajones de estacionamiento amplio, justo al pie del elevador en sótano 2. Hay 2 elevadores de visitas y el que llega directo al departamento (privado) Hay un área verde (teatro al aire libre) amplia para mascotas y recreación en sotano 1. En sótano 1 esta el centro de negocios, barra tipo bar, cine y sala con vista panorámica. En planta baja esta. Gimnasio, alberca, zona de camastros, espacios abiertos y una terraza que se reserva para eventos. Y spa, cabinas para aplicación de tratamientos sauna y baños, par hombres y mujeres independientes","Increible departamento amueblado. con vistas espectaculares. sala. comedor. cocina integral equipada con barra de granito. tres recamarás. 3 baños completos. medio baño para visitas. área de lavado. Son 2 cajones de estacionamiento amplio, justo al pie del elevador en sótano 2. Hay 2 elevadores de visitas y el que llega directo al departamento (privado) Hay un área verde (teatro al aire libre) amplia para mascotas y recreación en sotano 1. En sótano 1 esta el centro de negocios, barra tipo bar, cine y sala con vista panorámica. En planta baja esta. Gimnasio, alberca, zona de camastros, espacios abiertos y una terraza que se reserva para eventos. Y spa, cabinas para aplicación de tratamientos sauna y baños, par hombres y mujeres independientes","las Cumbres, Parque Virreyes Residencial, Zapopan",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-de-lujo-amueblado-en-venta-vista-vento-144524727.html,"MN 10,500,000",venta,3 rec.,3 baños
